"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"43","LB","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00323451853813806,264.997055971806,1.71427700148777,1489.30097591054,4.69928830856883e-05,3.85624331871617,0.00694728889449333,0.00315721524546211,0.00331182183081402,258.653535712518,271.340576231094,1.70284871125633,1.72570529171921,0.00314241248729011,0.00332662458898601,257.438819067123,272.55529287649,1.70066031525456,1.72789368772098,0.00476882635272346,264.524038562265,1.71580905025948,1487.38366974992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","high","S17-1","6july2022",TRUE,"logistic",FALSE,FALSE,0,0.00195975615787787,494.635956621182,1.25286012090966,786.546087038771,3.08458320003234e-05,5.31724350884915,0.00906545292807482,0.00190901476423734,0.0020104975515184,485.889091049125,503.382822193238,1.23794745084297,1.26777279097634,0.00189929832715724,0.0020202139885985,484.214159343837,505.057753898526,1.23509183317063,1.27062840864868,0.00256670051389015,552.242152294701,1.25262712943911,786.496835884796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","high","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00261349292622245,186.452434616263,1.60688524114322,1444.75242161798,4.95584472587598e-05,5.73834462181129,0.00953584099132272,0.00253196928048179,0.00269501657196311,177.012857713383,195.892011519142,1.5911987827125,1.62257169957395,0.00251635836959528,0.00271062748284962,175.205279157513,197.699590075013,1.58819499280023,1.62557548948622,0.00496918120946594,234.757332138163,1.59434095393431,1440.27028665842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","LB","S17-1","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00160116809659603,607.570279333019,1.36943352875143,539.64113693576,6.09752554196909e-06,1.29573104813232,0.00732903938295857,0.0015911376670795,0.00161119852611257,605.438801758841,609.701756907196,1.35737725896646,1.38148979853639,0.00158921694653378,0.00161311924665829,605.030646478679,610.109912187358,1.35506861156083,1.38379844594202,0.00184652368118509,631.491539308348,1.13292991693257,539.887073658042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LB","S17-1","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00163331598507055,581.885597762223,1.51191304616153,592.096007290997,9.07870389396733e-06,2.03592076477299,0.0135282771068342,0.00161838151716497,0.00164825045297613,578.536508104171,585.234687420274,1.48965903032079,1.53416706200228,0.00161552172543837,0.00165111024470273,577.895193063268,585.876002461178,1.48539762303214,1.53842846929093,0.00193317867022571,604.665985232253,1.22769845506594,589.772699989149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","LB","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00351314046729522,266.912519985087,1.69989716633594,1518.00667723322,3.72585070343932e-05,2.61084616681825,0.00449542113634621,0.00345185022322364,0.00357443071136679,262.617678040671,271.207361929503,1.69250219856666,1.70729213410523,0.0034401137935078,0.00358616714108263,261.795261498123,272.02977847205,1.69108614090871,1.70870819176318,0.00442572446082635,261.793989961377,1.71899418547011,1515.71147315169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","high","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00208561416352386,522.761950000588,1.30065946700085,741.549266540158,1.63325345586333e-05,2.49040977785398,0.00783545033286782,0.00205874714417491,0.00211248118287282,518.665225916018,526.858674085158,1.28777015120328,1.31354878279841,0.00205360239578894,0.00211762593125879,517.880746835994,527.643153165182,1.28530198434843,1.31601694965327,0.00257115009326769,564.725126016823,1.25732437981762,741.934469999167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","high","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.0026599292753819,215.514108788136,1.53571326013844,1368.74062182401,5.77929075733908e-05,6.22664902397407,0.00988104185851844,0.00256485994242367,0.00275499860834013,205.271271143699,225.756946432573,1.51945894628118,1.55196757399571,0.00254665517653806,0.00277320337422575,203.309876701147,227.718340875125,1.51634641809575,1.55508010218114,0.00578968078742402,261.773266142993,1.56401097060496,1361.46354727881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","LB","2698b","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00319150644267769,263.283963233804,1.68449228259291,1457.1254581828,1.93395618743683e-05,1.51358334999326,0.00343769717603484,0.00315969286339435,0.00322332002196103,260.794118623066,265.773807844543,1.67883727073833,1.69014729444749,0.00315360090140393,0.00322941198395145,260.317339867818,266.250586599791,1.67775439612788,1.69123016905794,0.00335448660500058,282.883790026865,1.6841488279105,1456.25694182196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","high","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00175973958157069,501.501870803189,1.12946939304734,777.319669913061,6.50527599596523e-05,17.0596185998563,0.0125847816468427,0.00165272779143706,0.00186675137170432,473.438798206426,529.564943399953,1.10876742723828,1.15017135885639,0.00163223617204977,0.00188724299109161,468.065018347471,534.938723258908,1.10480322101952,1.15413556507515,0.00220888908938125,582.80347383494,1.1574265513166,781.685285802871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
